Date,Dropzones,Configs,Binaries,Activedomains
24/07/2015,12,11,0,12
25/07/2015,12,11,0,12
26/07/2015,13,13,0,14
27/07/2015,12,12,0,13
28/07/2015,12,12,0,13
29/07/2015,11,13,1,14
30/07/2015,14,13,0,15
31/07/2015,13,16,2,17
01/08/2015,15,13,1,15
02/08/2015,12,12,1,13
03/08/2015,13,15,1,16
04/08/2015,11,13,1,15
05/08/2015,10,13,1,15
06/08/2015,12,16,1,17
07/08/2015,14,17,1,19
08/08/2015,11,17,1,18
09/08/2015,11,16,1,16
10/08/2015,13,22,1,21
11/08/2015,11,22,1,21
12/08/2015,18,29,1,29
13/08/2015,22,33,1,34
14/08/2015,22,34,1,34
15/08/2015,21,32,1,32
16/08/2015,21,30,1,30
17/08/2015,17,18,0,18
18/08/2015,16,17,0,16
19/08/2015,17,18,0,17
20/08/2015,16,15,0,15
21/08/2015,18,16,0,19
22/08/2015,19,19,0,19
23/08/2015,17,18,0,18
24/08/2015,14,13,0,13
25/08/2015,11,10,0,10
26/08/2015,12,11,0,11
27/08/2015,11,10,0,10
28/08/2015,15,16,0,16
29/08/2015,11,10,0,10
30/08/2015,14,13,0,14
31/08/2015,12,12,0,13
01/09/2015,10,11,0,12
03/09/2015,10,12,0,13
04/09/2015,11,12,0,13
05/09/2015,11,10,0,13
06/09/2015,11,10,0,13
07/09/2015,12,13,0,16
08/09/2015,11,12,0,15
09/09/2015,14,16,0,19
10/09/2015,11,9,0,12
11/09/2015,10,8,0,10
12/09/2015,12,10,0,12
13/09/2015,13,12,0,14
14/09/2015,12,12,0,14
15/09/2015,14,14,0,17
16/09/2015,13,10,0,14
17/09/2015,12,10,0,13
18/09/2015,11,8,0,12
19/09/2015,14,13,0,16
20/09/2015,15,14,0,17
21/09/2015,15,15,2,18
22/09/2015,17,16,2,20
